zone,train_samples,val_samples,test_samples,image_shape,weather_shape
301 - Sheridan Harvard Lot,34757,7429,7430,"(1, 24, 24)","(24, 3)"
302 - Sheridan Kirkwood Lot,34761,7430,7431,"(1, 24, 24)","(24, 3)"
304 - Tamello Beatty Lot,34760,7430,7430,"(1, 24, 24)","(24, 3)"
307 - Eva Beatty Lot,34761,7430,7431,"(1, 24, 24)","(24, 3)"
308 - Harvard Beatty Lot,9470,2011,2011,"(1, 24, 24)","(24, 3)"
311 - Ansley Beatty Lot,31634,6760,6761,"(1, 24, 24)","(24, 3)"
314 - Penn Circle NW Lot,34759,7430,7430,"(1, 24, 24)","(24, 3)"
321 - Beacon Bartlett Lot,34761,7430,7430,"(1, 24, 24)","(24, 3)"
322 - Forbes Shady Lot,34761,7430,7430,"(1, 24, 24)","(24, 3)"
323 - Douglas Phillips Lot,34759,7430,7430,"(1, 24, 24)","(24, 3)"
324 - Forbes Murray Lot,34761,7430,7430,"(1, 24, 24)","(24, 3)"
325 - JCC/Forbes Lot,34761,7430,7431,"(1, 24, 24)","(24, 3)"
328 - Ivy Bellefonte Lot,34762,7430,7431,"(1, 24, 24)","(24, 3)"
329 - Centre Craig,15368,3275,3275,"(1, 24, 24)","(24, 3)"
331 - Homewood Zenith Lot,31616,6756,6757,"(1, 24, 24)","(24, 3)"
334 - Taylor Street Lot,34761,7430,7430,"(1, 24, 24)","(24, 3)"
335 - Friendship Cedarville Lot,34761,7430,7431,"(1, 24, 24)","(24, 3)"
337 - 52nd & Butler Lot,34756,7429,7430,"(1, 24, 24)","(24, 3)"
338 - 42nd & Butler Lot,34760,7430,7430,"(1, 24, 24)","(24, 3)"
341 - 18th & Sidney Lot,34760,7430,7430,"(1, 24, 24)","(24, 3)"
342 - East Carson Lot,34760,7430,7430,"(1, 24, 24)","(24, 3)"
343 - 19th & Carson Lot,34760,7430,7430,"(1, 24, 24)","(24, 3)"
344 - 18th & Carson Lot,34761,7430,7431,"(1, 24, 24)","(24, 3)"
345 - 20th & Sidney Lot,34761,7430,7430,"(1, 24, 24)","(24, 3)"
351 - Brownsville & Sandkey Lot,34759,7429,7430,"(1, 24, 24)","(24, 3)"
354 - Walter/Warrington Lot,20173,4304,4304,"(1, 24, 24)","(24, 3)"
355 - Asteroid Warrington Lot,34759,7429,7430,"(1, 24, 24)","(24, 3)"
357 - Shiloh Street Lot,34766,7431,7431,"(1, 24, 24)","(24, 3)"
361 - Brookline Lot,30535,6525,6525,"(1, 24, 24)","(24, 3)"
363 - Beechview Lot,27145,5798,5798,"(1, 24, 24)","(24, 3)"
369 - Main/Alexander Lot,29094,6216,6216,"(1, 24, 24)","(24, 3)"
371 - East Ohio Street Lot,34758,7429,7430,"(1, 24, 24)","(24, 3)"
375 - Oberservatory Hill Lot,31244,6676,6677,"(1, 24, 24)","(24, 3)"
401 - Downtown 1,34761,7430,7430,"(1, 24, 24)","(24, 3)"
402 - Downtown 2,34763,7431,7431,"(1, 24, 24)","(24, 3)"
403 - Uptown,34761,7430,7430,"(1, 24, 24)","(24, 3)"
404 - Strip Disctrict,34760,7430,7430,"(1, 24, 24)","(24, 3)"
405 - Lawrenceville,34759,7430,7430,"(1, 24, 24)","(24, 3)"
406 - Bloomfield (On-street),34761,7430,7430,"(1, 24, 24)","(24, 3)"
407 - Oakland 1,34761,7430,7430,"(1, 24, 24)","(24, 3)"
408 - Oakland 2,34760,7430,7430,"(1, 24, 24)","(24, 3)"
409 - Oakland 3,34761,7430,7430,"(1, 24, 24)","(24, 3)"
410 - Oakland 4,34760,7430,7430,"(1, 24, 24)","(24, 3)"
411 - Shadyside,34761,7430,7430,"(1, 24, 24)","(24, 3)"
412 - East Liberty,34760,7430,7430,"(1, 24, 24)","(24, 3)"
413 - Squirrel Hill,34761,7430,7430,"(1, 24, 24)","(24, 3)"
414 - Mellon Park,34759,7430,7430,"(1, 24, 24)","(24, 3)"
415 - SS & SSW,34760,7430,7430,"(1, 24, 24)","(24, 3)"
416 - Carrick,23566,5031,5031,"(1, 24, 24)","(24, 3)"
417 - Allentown,23683,5056,5057,"(1, 24, 24)","(24, 3)"
418 - Beechview,23636,5046,5046,"(1, 24, 24)","(24, 3)"
419 - Brookline,34759,7429,7430,"(1, 24, 24)","(24, 3)"
420 - Mt. Washington,29011,6198,6198,"(1, 24, 24)","(24, 3)"
421 - NorthSide,34760,7430,7430,"(1, 24, 24)","(24, 3)"
422 - Northshore,34759,7430,7430,"(1, 24, 24)","(24, 3)"
423 - West End,23568,5031,5032,"(1, 24, 24)","(24, 3)"
424 - Technology Drive,34761,7430,7431,"(1, 24, 24)","(24, 3)"
425 - Bakery Sq,20797,4438,4438,"(1, 24, 24)","(24, 3)"
426 - Hill District,13051,2778,2778,"(1, 24, 24)","(24, 3)"
427 - Knoxville,9289,1972,1972,"(1, 24, 24)","(24, 3)"
